測站,X,Y
三和,120.4879411,23.6051419
大溝,120.2106757,23.5661644
六合,120.5626607,23.7688872
文昌,120.4195697,24.0081206
水林,120.2461062,23.5730673
好修,120.4582227,24.0069077
安和,120.3126709,23.5147647
明德,120.1992758,23.6529148
東石,120.1544886,23.460351
東光,120.2720127,23.6519191
東芳,120.5159852,24.0627666
東榮,120.4355251,23.5575179
花壇,120.5434004,24.0266614
芳草,120.3742353,23.7183141
虎尾,120.4323032,23.7141619
虎溪,120.5111803,23.7221335
金湖,120.1532501,23.5733592
洛津,120.4301778,24.0543448
崁腳,120.5379487,23.612378
海園,120.179071,23.7208086
海豐,120.2259437,23.7648513
港後,120.3920562,23.7964571
溫厝,120.5120964,23.6577185
嘉興,120.4595291,23.6481764
箔子,120.1514987,23.6335005
趙甲,120.3953615,23.9375158
線西,120.4676334,24.1321396
蔡厝,120.2192681,23.61224
興化,120.2889957,23.7601822
舊庄,120.4006476,23.6344105
豐榮,120.3109723,23.7907168
瓊埔,120.2072791,23.5183722
