date,09040231九隆(3),07220221合興(2),07220231合興(3),09200221大溝(2),07140131好修(3),09050121宏崙(2),09190132宜梧(3),07060141文昌(4),09180341明德(4),09180441東光(4),09070131東和(3),10050131東榮(3),10090131東石(3),07010221東芳(2),09200121水林(2),07020131洛津(3),09160131海園(3),09130321海豐(2),09110131港後(3),09110141港後(4),07120121田中(2),07210121田尾(2),09180131箔子(3),07040141線西(4),09080241舊庄(4),09010132虎溪(3),09190221金湖(2)
2000-01-01 00:00:00,14.47958333,9.5275,8.585416667,-21.37791667,-1.100833333,1.28375,-21.92666667,-4.355,-12.06125,-8.495416667,29.72166667,-3.162083333,-18.21083333,-1.20625,-15.70666667,-4.63625,-15.68458333,-25.05397871,6.800416667,6.7325,34.98083333,15.90041667,-14.1025,-2.56625,3.11,23.56416667,-20.74583333
2000-01-02 00:00:00,14.44166667,9.47,8.572083333,-21.38166667,-1.10875,1.277916667,-21.9725,-4.344583333,-12.02333333,-8.4925,29.71416667,-2.909583333,-18.24125,-1.17875,-15.76125,-4.642083333,-15.47791667,-25.23554617,6.793333333,6.7275,34.95,15.88375,-14.02083333,-2.559166667,3.11,23.585,-21.1275
2000-01-03 00:00:00,14.41541667,9.489166667,8.5575,-21.41666667,-1.110416667,1.274166667,-21.88083333,-4.337083333,-11.99625,-8.48875,29.70333333,-3.3975,-18.27541667,-1.146666667,-15.74958333,-4.608333333,-15.275,-25.34452641,6.770833333,6.70625,34.91125,15.86708333,-13.95208333,-2.538333333,3.11,23.59291667,-20.895
2000-01-04 00:00:00,14.40875,9.491666667,8.545,-21.41833333,-1.1025,1.265833333,-21.64666667,-4.321666667,-11.95916667,-8.484583333,29.695,-3.966666667,-18.21083333,-1.154166667,-15.6625,-4.590833333,-15.34333333,-25.38089798,6.755,6.692916667,34.87,15.85375,-13.92083333,-2.526666667,3.11,23.59541667,-20.485
2000-01-05 00:00:00,14.42208333,9.478333333,8.54,-21.3475,-1.100833333,1.2625,-21.42916667,-4.297916667,-11.90875,-8.482916667,29.69125,-4.324583333,-18.24125,-1.170833333,-15.60916667,-4.5725,-15.04791667,-25.37441668,6.744166667,6.66875,34.83125,15.83958333,-13.87125,-2.529583333,3.11,23.6075,-20.14583333
2000-01-06 00:00:00,14.41333333,9.475,8.530416667,-21.28458333,-1.10625,1.275,-21.3725,-4.282083333,-11.86875,-8.49625,29.68625,-4.43375,-18.27333333,-1.190833333,-15.60875,-4.595,-14.99125,-25.31750883,6.7375,6.650416667,34.7925,15.81583333,-13.84208333,-2.522083333,3.252916667,23.60916667,-20.20166667
2000-01-07 00:00:00,14.37458333,9.46125,8.51375,-21.25166667,-1.11375,1.285833333,-21.23541667,-4.270416667,-11.83166667,-8.504583333,29.66666667,-4.430833333,-18.17708333,-1.215416667,-15.64625,-4.66,-14.98375,-25.34660806,6.712083333,6.631666667,34.75,15.79,-13.81041667,-2.50375,3.37,23.60208333,-19.95666667
2000-01-08 00:00:00,14.35458333,9.465833333,8.500833333,-21.20916667,-1.126666667,1.2925,-21.15708333,-4.27,-11.78541667,-8.51625,29.6525,-4.410416667,-18.11583333,-1.241666667,-15.63125,-4.697916667,-15.00875,-25.41308765,6.690416667,6.6125,34.71041667,15.76833333,-13.7675,-2.519583333,3.37,23.595,-19.82166667
2000-01-09 00:00:00,14.3675,9.4575,8.488333333,-21.1975,-1.146666667,1.295833333,-21.39833333,-4.212083333,-11.74666667,-8.52875,29.64166667,-3.876666667,-18.08583333,-1.24875,-15.56333333,-4.62,-14.95666667,-25.45946977,6.675,6.597916667,34.67875,15.74333333,-13.70625,-2.536666667,3.37,23.58,-20.01458333
2000-01-10 00:00:00,14.37375,9.441666667,8.472916667,-21.21958333,-1.152083333,1.28875,-21.67416667,-4.2675,-11.73333333,-8.542083333,29.6225,-3.797083333,-18,-1.232083333,-15.5825,-4.617083333,-15.04041667,-25.49603688,6.667916667,6.585,34.63791667,15.71875,-13.71208333,-2.53875,3.37,23.55333333,-20.34916667
2000-01-11 00:00:00,14.34125,9.431666667,8.4625,-21.22583333,-1.143333333,1.28,-21.40833333,-4.267916667,-11.70958333,-8.555416667,29.59666667,-4.216666667,-17.95833333,-1.241666667,-15.60458333,-4.654166667,-14.85625,-25.50187863,6.650833333,6.571666667,34.60041667,15.695,-13.67333333,-2.5475,3.37,23.49166667,-19.89166667
2000-01-12 00:00:00,14.35541667,9.420416667,8.455833333,-21.20208333,-1.124583333,1.273333333,-21.18708333,-4.25625,-11.67708333,-8.569166667,29.54041667,-4.490833333,-17.94208333,-1.264166667,-15.53458333,-4.631666667,-14.87583333,-25.47967306,6.636666667,6.559583333,34.56291667,15.67458333,-13.665,-2.558333333,3.37,23.40166667,-19.63875
2000-01-13 00:00:00,14.31291667,9.40375,8.440416667,-21.15083333,-1.1225,1.254583333,-21.13666667,-4.202083333,-11.65,-8.58375,29.46291667,-4.915,-17.92583333,-1.29125,-15.51125,-4.665833333,-15.04041667,-25.52198666,6.6275,6.549583333,34.52333333,15.65583333,-13.64416667,-2.56,3.358333333,23.31041667,-19.78041667
2000-01-14 00:00:00,14.30083333,9.385833333,8.425833333,-21.11916667,-1.12625,1.235833333,-21.22958333,-4.2475,-11.62041667,-8.60375,29.38375,-5.452083333,-17.91041667,-1.315,-15.49333333,-4.698333333,-14.88541667,-25.56121737,6.612083333,6.539583333,34.49208333,15.63916667,-13.64208333,-2.565416667,3.202916667,23.22125,-19.61333333
2000-01-15 00:00:00,14.28,9.373333333,8.414583333,-21.09625,-1.129166667,1.222083333,-21.14208333,-4.25,-11.59666667,-8.623333333,29.3125,-5.57875,-17.92875,-1.32625,-15.48291667,-4.719583333,-15.00583333,-25.55848031,6.609166667,6.53875,34.455,15.63166667,-13.62833333,-2.58375,3.13,23.13333333,-19.61833333
2000-01-16 00:00:00,14.28,9.363333333,8.40375,-21.08333333,-1.134583333,1.211666667,-21.015,-4.25,-11.56583333,-8.645833333,29.23875,-6.105416667,-17.97166667,-1.340416667,-15.525,-4.73875,-14.57375,-25.42071184,6.60125,6.525,34.42083333,15.60333333,-13.57833333,-2.596666667,3.008333333,23.05625,-19.79166667
2000-01-17 00:00:00,14.24125,9.341666667,8.38625,-21.10166667,-1.152916667,1.186666667,-21.05125,-4.259166667,-11.55166667,-8.669166667,29.16041667,-7.035,-17.94166667,-1.32875,-15.54541667,-4.7725,-14.64375,-25.34953012,6.595416667,6.521666667,34.38375,15.57541667,-13.54958333,-2.592083333,2.8475,22.98,-19.94875
2000-01-18 00:00:00,14.15583333,9.33375,8.36875,-21.10916667,-1.16625,1.1525,-20.89666667,-4.262916667,-11.52875,-8.69625,29.06458333,-7.505833333,-17.90541667,-1.339583333,-15.47208333,-4.709583333,-14.52833333,-25.34189642,6.577083333,6.506666667,34.34291667,15.54708333,-13.51833333,-2.58375,2.545833333,22.87875,-19.65041667
2000-01-19 00:00:00,14.09916667,9.32375,8.354166667,-21.07541667,-1.15625,1.11375,-20.88833333,-4.235833333,-11.50375,-8.710416667,28.96541667,-7.67125,-17.89416667,-1.372916667,-15.50833333,-4.640416667,-16.27958333,-25.45558659,6.544583333,6.4775,34.3075,15.52541667,-13.515,-2.585833333,2.09625,22.77083333,-19.7525
2000-01-20 00:00:00,14.11208333,9.30375,8.340833333,-21.0725,-1.152916667,1.0725,-20.85,-4.225,-11.47916667,-8.728333333,28.86166667,-7.85625,-17.8525,-1.408333333,-15.52625,-4.664583333,-18.0325,-25.6002929,6.535833333,6.467083333,34.26875,15.50333333,-13.50083333,-2.5875,1.2825,22.66875,-20.115
2000-01-21 00:00:00,14.10625,9.27625,8.329166667,-21.07916667,-1.15875,1.033333333,-20.89791667,-4.234166667,-11.47625,-8.754166667,28.73166667,-8.326666667,-17.82083333,-1.429583333,-15.56625,-4.675416667,-17.57208333,-25.68206567,6.530833333,6.4575,34.23166667,15.48291667,-13.51458333,-2.601666667,0.655416667,22.55375,-20.11166667
2000-01-22 00:00:00,14.08083333,9.260416667,8.323333333,-21.0625,-1.16125,0.994583333,-21.00666667,-4.231666667,-11.48333333,-8.779166667,28.61666667,-8.67625,-17.80333333,-1.431666667,-15.63291667,-4.677083333,-16.41083333,-25.69623637,6.51875,6.440416667,34.19958333,15.47416667,-13.52416667,-2.628333333,0.339166667,22.42958333,-19.95541667
2000-01-23 00:00:00,14.04791667,9.24875,8.314583333,-21.06791667,-1.17125,0.950416667,-21.2325,-4.245,-11.50333333,-8.810833333,28.50625,-8.350833333,-17.80291667,-1.419583333,-15.69291667,-4.699583333,-15.77125,-25.74772478,6.509166667,6.42875,34.17083333,15.45958333,-13.55583333,-2.648333333,-0.26625,22.31125,-20.42916667
2000-01-24 00:00:00,14.00916667,9.219583333,8.302083333,-21.17,-1.187083333,0.889583333,-21.51208333,-4.240416667,-11.52458333,-8.845833333,28.39291667,-8.510833333,-17.76958333,-1.402083333,-15.69291667,-4.683333333,-15.36458333,-25.7329871,6.507083333,6.42125,34.13333333,15.43333333,-13.56708333,-2.647916667,-0.69,22.18125,-20.63833333
2000-01-25 00:00:00,13.90291667,9.20625,8.292916667,-21.2025,-1.188333333,0.8175,-21.26166667,-4.0825,-11.52666667,-8.881666667,28.27,-9.209166667,-17.76375,-1.406666667,-15.66916667,-4.661666667,-14.85125,-25.78763228,6.48125,6.404166667,34.10375,15.4125,-13.51416667,-2.625416667,-1.0075,22.04708333,-20.05
2000-01-26 00:00:00,13.84958333,9.204583333,8.27875,-21.20666667,-1.170833333,0.737083333,-21.39583333,-4.051666667,-11.50958333,-8.9175,28.15916667,-9.644166667,-17.74791667,-1.418333333,-15.68833333,-4.663333333,-16.14875,-25.85869928,6.465,6.395,34.07041667,15.39666667,-13.41083333,-2.624583333,-1.042916667,21.94083333,-20.07041667
2000-01-27 00:00:00,13.83583333,9.184583333,8.2625,-21.18375,-1.164166667,0.667916667,-21.30833333,-4.0425,-11.49375,-8.952916667,28.07375,-10.02125,-17.69791667,-1.4275,-15.68,-4.680416667,-18.0925,-25.76657348,6.4625,6.389166667,34.03291667,15.37791667,-13.37416667,-2.64625,-1.297083333,21.85416667,-20.54
2000-01-28 00:00:00,13.82583333,9.161666667,8.252916667,-21.13416667,-1.170416667,0.607916667,-21.36458333,-4.03375,-11.49458333,-8.98625,28.00125,-10.26958333,-17.64,-1.435,-15.74833333,-4.71,-18.64541667,-25.78174827,6.447083333,6.371666667,33.99583333,15.35708333,-13.41041667,-2.672083333,-1.580833333,21.7875,-20.77583333
2000-01-29 00:00:00,13.77791667,9.144166667,8.235416667,-21.12416667,-1.174583333,0.529166667,-21.41041667,-4.122916667,-11.50208333,-9.05625,27.92625,-10.30708333,-17.66458333,-1.452083333,-15.83375,-4.74,-16.92958333,-25.43705368,6.414583333,6.342083333,33.95583333,15.33791667,-13.47541667,-2.680833333,-1.969166667,21.72875,-20.34
2000-01-30 00:00:00,13.72125,9.122083333,8.215833333,-21.16958333,-1.197083333,0.455,-21.575,-4.252083333,-11.515,-9.09875,27.87041667,-10.61208333,-17.68375,-1.469166667,-15.97833333,-4.724166667,-16.12583333,-25.40666616,6.381666667,6.31125,33.925,15.31958333,-13.51583333,-2.692916667,-2.444166667,21.6825,-20.32208333
2000-01-31 00:00:00,13.69166667,9.112916667,8.2025,-21.24541667,-1.204166667,0.39375,-21.63375,-4.26875,-11.52728494,-9.14625,27.82208333,-11.07416667,-17.65708333,-1.44875,-15.96375,-4.717083333,-16.14100204,-25.39668535,6.3675,6.295,33.89333333,15.31625,-13.51666667,-2.72375,-2.47875,21.63916667,-20.14916667
