date,07140141好修(4),10070141安和(4),09190142宜梧(4),09180451東光(5),10050141東榮(4),10090141東石(4),09160141海園(4),09080251舊庄(5),07080141花壇(4),09010142虎溪(4)
2000-01-01 00:00:00,-0.7825,-10.85041667,-19.38708333,-8.537083333,-0.665833333,-14.71541667,-10.86541667,3.061666667,0.55625,22.06625
2000-01-02 00:00:00,-0.795,-10.76583333,-19.36333333,-8.533333333,-0.686666667,-14.71333333,-10.815,3.094166667,0.5575,22.07666667
2000-01-03 00:00:00,-0.805,-10.97958333,-19.35833333,-8.531666667,-0.58125,-14.68916667,-10.76166667,3.123333333,0.552916667,22.0825
2000-01-04 00:00:00,-0.805,-10.99333333,-19.3325,-8.52875,-0.538333333,-14.67041667,-10.69791667,3.15625,0.5525,22.08541667
2000-01-05 00:00:00,-0.805833333,-10.98125,-19.30958333,-8.51875,-0.613333333,-14.65291667,-10.67041667,3.19125,0.555833333,22.09791667
2000-01-06 00:00:00,-0.81875,-10.95958333,-19.25291667,-8.495833333,-0.587916667,-14.64291667,-10.61375,3.222083333,0.55625,22.10291667
2000-01-07 00:00:00,-0.81875,-10.96375,-19.19666667,-8.495416667,-0.58125,-14.65708333,-10.56958333,3.242083333,0.54625,22.09208333
2000-01-08 00:00:00,-0.82625,-10.95708333,-19.15583333,-8.485416667,-0.63875,-14.65041667,-10.52583333,3.2475,0.54125,22.09166667
2000-01-09 00:00:00,-0.87375,-10.94666667,-19.11916667,-8.474583333,-0.51875,-14.64458333,-10.48375,3.245,0.532916667,22.07958333
2000-01-10 00:00:00,-0.882083333,-10.94083333,-19.09958333,-8.465416667,-0.5325,-14.63833333,-10.44916667,3.185833333,0.516666667,22.0625
2000-01-11 00:00:00,-0.8375,-10.92125,-19.10333333,-8.454166667,-0.57625,-14.63291667,-10.41541667,3.04625,0.508333333,22.025
2000-01-12 00:00:00,-0.812916667,-10.91208333,-19.09291667,-8.442083333,-0.920833333,-14.61291667,-10.37541667,2.900833333,0.50875,21.96333333
2000-01-13 00:00:00,-0.795,-10.90833333,-19.05458333,-8.430833333,-1.3,-14.60583333,-10.33958333,2.620833333,0.496666667,21.89333333
2000-01-14 00:00:00,-0.768333333,-10.90833333,-19.01666667,-8.425833333,-2.180833333,-14.61625,-10.3175,2.3725,0.485416667,21.82166667
2000-01-15 00:00:00,-0.754583333,-10.89625,-18.99208333,-8.415,-2.995833333,-14.60625,-10.28041667,2.174583333,0.478333333,21.75166667
2000-01-16 00:00:00,-0.75625,-10.88791667,-18.96458333,-8.408333333,-3.618333333,-14.6025,-10.25208333,2.003333333,0.474583333,21.68083333
2000-01-17 00:00:00,-0.769583333,-10.885,-18.92833333,-8.404583333,-4.25625,-14.60708333,-10.22125,1.847083333,0.467083333,21.60916667
2000-01-18 00:00:00,-0.787083333,-10.87833333,-18.90875,-8.404166667,-4.618333333,-14.6125,-10.2075,1.692916667,0.45625,21.52416667
2000-01-19 00:00:00,-0.790833333,-10.87166667,-18.9025,-8.4,-4.852916667,-14.59666667,-10.12833333,1.54875,0.45125,21.42791667
2000-01-20 00:00:00,-0.798333333,-10.86791667,-18.91166667,-8.3975,-5.217083333,-14.57833333,-10.09916667,1.41375,0.44125,21.335
2000-01-21 00:00:00,-0.825416667,-10.8675,-18.89791667,-8.397083333,-5.3275,-14.56416667,-10.14875,1.288333333,0.435,21.23625
2000-01-22 00:00:00,-0.854166667,-10.8575,-18.87458333,-8.387083333,-5.12,-14.54083333,-10.19458333,1.17125,0.4375,21.13
2000-01-23 00:00:00,-0.8775,-10.845,-18.86875,-8.385,-4.7225,-14.53125,-10.22375,1.055416667,0.4325,21.02083333
2000-01-24 00:00:00,-0.912083333,-10.83458333,-18.90541667,-8.38875,-5.109583333,-14.5275,-10.22583333,0.932916667,0.422083333,20.90333333
2000-01-25 00:00:00,-0.930833333,-10.83583333,-18.92833333,-8.395833333,-5.736666667,-14.55458333,-10.23666667,0.809583333,0.41875,20.77708333
2000-01-26 00:00:00,-0.93125,-10.83083333,-18.94666667,-8.401666667,-7.075416667,-14.55083333,-10.21208333,0.68625,0.41,20.66666667
2000-01-27 00:00:00,-0.949583333,-10.82541667,-18.9825,-8.41,-7.89,-14.52416667,-10.17291667,0.567083333,0.4,20.57625
2000-01-28 00:00:00,-0.954166667,-10.82041667,-19.01791667,-8.414166667,-7.785,-14.49375,-10.2025,0.451666667,0.395833333,20.50083333
2000-01-29 00:00:00,-0.982083333,-10.81875,-19.03958333,-8.422083333,-6.900833333,-14.48416667,-10.27875,0.33125,0.381666667,20.42833333
2000-01-30 00:00:00,-1.020416667,-10.81458333,-19.04083333,-8.4275,-6.704583333,-14.51333333,-10.3325,0.20625,0.360416667,20.36875
2000-01-31 00:00:00,-1.02625,-10.805,-19.05,-8.434583333,-6.63625,-14.51625,-10.36624052,0.08625,0.339166667,20.32
2000-02-01 00:00:00,-1.06125,-10.81,-19.07463333,-8.45,-6.886666667,-14.47958333,-10.36120192,-0.02875,0.314166667,20.2725
2000-02-02 00:00:00,-1.107083333,-10.81291667,-19.01832133,-8.470416667,-6.9275,-14.45,-10.34791667,-0.14375,0.29,20.22541667
2000-02-03 00:00:00,-1.142083333,-10.79875,-19.16958333,-8.492916667,-6.844583333,-14.43958333,-10.33125,-0.255833333,0.265,20.18208333
2000-02-04 00:00:00,-1.165416667,-10.79166667,-19.305,-8.511666667,-7.21,-14.43083333,-10.30041667,-0.354166667,0.239583333,20.13041667
2000-02-05 00:00:00,-1.193333333,-10.78791667,-19.32166667,-8.5425,-6.840416667,-14.41458333,-10.26083333,-0.465833333,0.209166667,20.05083333
2000-02-06 00:00:00,-1.17125,-10.78125,-19.35333333,-8.56625,-6.473333333,-14.41125,-10.21208333,-0.555833333,0.186666667,19.97916667
2000-02-07 00:00:00,-1.145,-10.79291667,-19.40291667,-8.650507553,-6.564166667,-14.41083333,-10.16333333,-0.705416667,0.17125,19.91041667
2000-02-08 00:00:00,-1.12875,-10.79958333,-19.46583333,-8.689119283,-7.36,-14.40458333,-10.11291667,-0.855045954,0.167083333,19.855
2000-02-09 00:00:00,-1.11375,-10.8075,-19.53333333,-8.652083333,-8.0425,-14.38791667,-10.05625,-0.8725,0.178333333,19.793125
2000-02-10 00:00:00,-1.092916667,-10.81041667,-19.66708333,-8.675833333,-8.139583333,-14.3725,-10.00833333,-0.9625,0.2,19.69625
2000-02-11 00:00:00,-1.080416667,-10.81125,-19.83125,-8.701666667,-8.385833333,-14.35041667,-9.9825,-1.0525,0.229583333,19.62041667
2000-02-12 00:00:00,-1.059583333,-10.8175,-20.01958333,-8.724166667,-8.18875,-14.34416667,-9.951666667,-1.13625,0.255833333,19.54458333
2000-02-13 00:00:00,-1.060416667,-10.81333333,-20.22791667,-8.75,-7.823333333,-14.34125,-9.932083333,-1.224166667,0.275416667,19.46625
2000-02-14 00:00:00,-1.061666667,-10.81583333,-20.50541667,-8.772916667,-7.800833333,-14.34916667,-9.928333333,-1.311666667,0.297916667,19.38708333
2000-02-15 00:00:00,-1.053333333,-10.82833333,-20.92791667,-8.788333333,-7.980833333,-14.3925,-9.925833333,-1.40125,0.30375,19.29875
2000-02-16 00:00:00,-1.040833333,-10.83708333,-21.31125,-8.792916667,-8.687916667,-14.37375,-9.914583333,-1.484583333,0.309166667,19.21208333
2000-02-17 00:00:00,-1.050833333,-10.86333333,-21.64041667,-8.809583333,-8.839166667,-14.38625,-9.9125,-1.564583333,0.315,19.125
2000-02-18 00:00:00,-1.050416667,-10.85916667,-21.905,-8.830833333,-8.666666667,-14.37958333,-9.89875,-1.635416667,0.327083333,19.04625
2000-02-19 00:00:00,-1.045,-10.84833333,-22.13708333,-8.847083333,-8.480833333,-14.37875,-9.869166667,-1.695,0.34625,18.97791667
2000-02-20 00:00:00,-1.035,-10.85208333,-22.36583333,-8.875416667,-8.14625,-14.4075,-9.869166667,-1.765416667,0.354166667,18.90708333
2000-02-21 00:00:00,-1.012083333,-10.85666667,-22.57791667,-8.898333333,-7.842083333,-14.44875,-9.88375,-1.654583333,0.374166667,18.87458333
