測站,X,Y,參數
三和,120.4879411,23.6051419,403325
下半天,120.3275075,23.4299347,286218
下柑,120.5425921,23.8232669,548361
中山,120.2442546,23.7970597,531163
九隆,120.4309865,23.7511055,500287
二崙,120.4141973,23.7717298,514276
二林,120.3715254,23.9014032,600247
二水,120.6179301,23.8117014,541412
僑義,120.4795051,23.8433128,562319
元長,120.3114528,23.6526276,435207
光復,120.4023941,23.7414333,494268
全興,120.5124211,24.1720086,781341
六合,120.5626607,23.7688872,512375
北港,120.3019353,23.5788842,386201
古坑,120.5668395,23.6445533,429378
古民,120.3586091,23.5632313,375239
合興,120.4581834,23.894041,595305
和美,120.4961322,24.1036173,735330
和豐,120.2234007,23.739028,492149
員林,120.5698983,23.952315,634380
嘉興,120.4595291,23.6481764,432306
國聖,120.5691329,24.0926589,728379
土庫,120.3898952,23.6879458,458260
坪頂,120.6406863,23.7558262,503427
大崎,120.4717726,23.5129113,342314
大溝,120.2106757,23.5661644,377140
好修,120.4582227,24.0069077,671305
安南,120.2487902,23.7039388,469166
安和,120.3126709,23.5147647,343208
宏崙,120.3480521,23.6866149,457232
宜梧,120.1883087,23.5412544,360125
客厝,120.3342435,23.6266332,417223
尚義,120.4518948,23.6342284,422301
崁腳,120.5379487,23.612378,408358
崙子,120.3548149,23.6076648,405236
崙雅,120.5851901,23.8892691,592390
後安,120.2348582,23.7892163,526156
忠孝,120.3149513,23.6221067,414210
拯民,120.4072534,23.7093338,472271
文昌,120.4195697,24.0081206,671279
斗六,120.5334846,23.704929,469355
新光,120.6702601,23.8507579,567446
新民,120.6989779,23.811628,541466
明德,120.1992758,23.6529148,435133
東光,120.2720127,23.6519191,434181
東和,120.5693567,23.6858408,457379
東榮,120.4355251,23.5575179,371290
東石,120.1544886,23.460351,307103
東芳,120.5159852,24.0627666,708344
柑園,120.5336732,23.8229128,548355
柑園新,120.542462,23.8210763,547361
榮光,120.605063,23.8150822,543403
水林,120.2461062,23.5730673,382164
永定,120.4195771,23.7976624,531279
洛津,120.4301778,24.0543448,702286
海園,120.179071,23.7208086,480119
海豐,120.2259437,23.7648513,509150
港後,120.3920562,23.7964571,530261
湖子內,120.5602082,23.7834189,522373
溪州,120.5012538,23.8550595,569334
溪湖,120.4789016,23.949894,633319
溫厝,120.5120964,23.6577185,438341
漢寶,120.3687243,24.0065841,670246
潭墘,120.3475483,23.8356037,557231
烏塗,120.5980298,23.7672448,511398
瓊埔,120.2072791,23.5183722,345138
田中,120.5868369,23.8546002,569391
田尾,120.5273784,23.8913797,594351
田洋,120.3089917,23.7253985,483206
石榴,120.585848,23.720706,480390
社寮,120.7215556,23.8095304,539481
秀潭,120.3496009,23.6588347,439233
竹塘,120.4283413,23.8599514,573285
竹山,120.6871402,23.7630247,508458
箔子,120.1514987,23.6335005,422101
線西,120.4676334,24.1321396,754311
興化,120.2889957,23.7601822,506192
舊庄,120.4006476,23.6344105,423267
花壇,120.5434004,24.0266614,684362
花橋,120.5663227,24.017202,677377
芳苑,120.3204379,23.9237754,615213
芳草,120.3742353,23.7183141,478249
莿桐,120.4968701,23.7567483,504331
蔡厝,120.2192681,23.61224,408146
虎尾,120.4323032,23.7141619,476288
虎溪,120.5111803,23.7221335,481340
西港,120.2893932,23.8605452,573193
西螺,120.467139,23.7960679,530311
觸口,120.6429723,23.7701166,513428
豐崙,120.4669565,23.9074752,604311
豐榮,120.3109723,23.7907168,527207
趙甲,120.3953615,23.9375158,624263
辰光,120.3226484,23.5865313,391215
過溪,120.5721308,23.810335,540381
重寮,120.3152078,23.3979045,265210
重興,120.5890983,23.7807576,520392
金湖,120.1532501,23.5733592,382102
青山,120.6007421,23.9447482,629400
頂番,120.4843231,24.0849186,723323
顏厝,120.4345144,24.0744509,716289
香田,120.3770097,23.8739112,582251
鯉魚,120.654835,23.716187,477436
