date,員林,四湖,廬山,日月潭,昆陽,神木村,竹山,草嶺,虎尾,阿里山,鳳凰,鹿港
2000-01-01 00:00:00,19.2,19.0,14.0,16.6,5.9,12.1,18.3,14.4,19.2,8.8,16.0,18.6
2000-01-02 00:00:00,17.8,18.5,13.5,16.0,3.5,11.4,16.9,13.7,18.0,7.3,15.2,18.0
2000-01-03 00:00:00,18.0,17.1,11.2,13.9,2.6,10.2,16.1,12.6,18.2,6.2,13.4,17.1
2000-01-04 00:00:00,17.0,17.6,12.4,14.6,2.9,11.4,15.7,12.8,17.3,8.0,13.7,16.9
2000-01-05 00:00:00,18.3,19.2,13.2,16.7,2.7,11.8,17.8,14.8,19.1,9.1,16.1,17.9
2000-01-06 00:00:00,19.6,19.9,13.9,17.1,2.6,12.4,18.8,15.7,19.9,8.1,16.6,18.6
2000-01-07 00:00:00,18.9,18.5,13.3,17.0,2.9,12.0,18.1,14.9,18.6,6.9,15.6,18.4
2000-01-08 00:00:00,17.8,18.0,14.6,17.3,4.3,12.9,17.1,15.2,17.9,8.1,16.4,17.6
2000-01-09 00:00:00,19.9,19.5,15.2,17.4,5.8,13.6,19.3,16.1,19.6,10.7,17.1,19.2
2000-01-10 00:00:00,21.0,19.8,15.2,17.9,6.6,13.8,20.5,16.5,20.3,11.0,17.6,19.6
2000-01-11 00:00:00,19.6,19.3,15.6,17.8,7.0,13.6,19.2,15.9,19.5,10.1,16.8,18.9
2000-01-12 00:00:00,21.4,20.5,15.0,18.2,6.3,13.9,20.4,16.3,21.0,9.9,17.8,20.3
2000-01-13 00:00:00,19.3,18.7,14.4,17.5,4.6,13.3,18.8,15.8,18.6,9.0,16.8,18.3
2000-01-14 00:00:00,18.9,18.1,13.8,17.1,4.0,12.5,18.0,15.4,18.2,7.6,16.6,17.6
2000-01-15 00:00:00,18.0,18.0,14.0,15.4,4.7,12.0,17.1,13.9,17.8,9.6,14.5,17.3
2000-01-16 00:00:00,18.5,18.2,13.6,16.5,2.3,12.2,17.8,14.8,18.4,7.9,15.2,17.9
2000-01-17 00:00:00,17.1,16.3,12.5,14.6,0.3,11.2,16.5,13.4,16.4,5.7,13.0,15.7
2000-01-18 00:00:00,13.3,13.8,8.8,10.6,0.675,8.7,12.8,10.1,13.2,4.3,9.9,13.0
2000-01-19 00:00:00,12.9,13.1,8.2,9.2,1.05,7.5,12.4,8.3,12.8,4.2,8.3,12.5
2000-01-20 00:00:00,15.1,14.1,9.3,11.6,1.425,8.3,14.7,9.3,14.3,4.6,11.2,14.0
2000-01-21 00:00:00,17.4,16.5,10.8,13.7,1.8,10.3,18.5,12.7,16.6,7.0,13.8,16.4
2000-01-22 00:00:00,18.2,17.3,13.4,15.4,3.3,12.0,18.0,13.9,18.0,7.8,15.1,16.9
2000-01-23 00:00:00,18.3,18.0,14.4,16.1,5.2,13.4,18.1,15.0,18.2,9.1,15.7,17.4
2000-01-24 00:00:00,17.9,17.4,14.8,16.4,5.9,14.0,18.8,15.3,17.6,10.1,16.3,17.1
2000-01-25 00:00:00,13.5,13.3,12.3,13.9,4.8,12.3,13.2,13.6,13.1,8.8,13.2,12.5
2000-01-26 00:00:00,11.0,10.9,8.7,9.4,0.5,8.9,9.9,9.0,10.7,5.6,8.3,10.7
2000-01-27 00:00:00,10.8,11.0,6.0,7.6,0.575,5.5,9.4,6.9,10.7,2.2,7.1,10.8
2000-01-28 00:00:00,13.9,13.5,7.3,9.7,0.65,6.6,13.3,7.9,13.6,1.4,9.6,13.6
2000-01-29 00:00:00,14.6,14.5,8.0,10.8,0.7250000000000001,6.8,14.1,9.5,14.7,4.1,11.1,14.2
2000-01-30 00:00:00,14.8,14.6,10.3,10.9,0.8,8.7,14.4,10.3,14.6,4.8,9.9,13.9
2000-01-31 00:00:00,14.8,14.0,11.8,13.3,0.5,10.8,14.2,11.8,14.3,4.6,12.1,13.6
2000-02-01 00:00:00,14.9,15.3,10.1,12.6,1.6,9.4,14.3,11.2,14.9,5.5,12.6,14.5
2000-02-02 00:00:00,16.4,16.7,12.4,13.9,2.9,10.9,15.6,12.2,16.2,7.1,13.1,16.6
2000-02-03 00:00:00,17.6,16.1,14.0,14.9,3.3,11.9,17.3,13.5,17.0,7.1,14.1,15.9
2000-02-04 00:00:00,19.2,17.9,14.7,17.9,3.6,12.9,18.3,15.9,18.5,8.3,17.7,17.6
2000-02-05 00:00:00,17.4,16.7,12.8,16.0,3.3,12.2,17.0,14.9,17.1,8.4,16.2,16.6
