ID,下陷??Shape_Leng,angle,x,y,
2,-3,0,85.82334114,120.4854299,23.84266802
2,-3,0.001,78.23544883,120.4864228,23.84278032
2,-3,0.002,70.63832172,120.4873924,23.84302225
2,-3,0.003,65.51447924,120.4883174,23.84339994
2,-3,0.004,54.9572148,120.4891672,23.84392426
2,-3,0.005,40.98715176,120.4899128,23.84458716
2,-3,0.006,34.03685968,120.4905218,23.84537826
2,-3,0.007,22.41220174,120.4909524,23.84627928
2,-3,0.008,3.828459797,120.4911777,23.84725114
2,-3,0.009,351.8643766,120.4911679,23.84824849
2,-3,0.01,339.5494094,120.4909304,23.84921673
2,-3,0.011,328.434764,120.4904936,23.85011369
2,-3,0.012,319.2625316,120.4899122,23.85092559
2,-3,0.013,317.6542569,120.4892464,23.85167114
2,-3,0.014,311.3274286,120.4885222,23.85236004
2,-3,0.015,304.2075183,120.4877383,23.85297975
2,-3,0.016,298.8496567,120.4868813,23.85349362
2,-3,0.017,290.1187162,120.4859612,23.85388295
2,-3,0.018,281.7721799,120.4849976,23.85414563
2,-3,0.019,274.9063317,120.4840075,23.85427979
2,-3,0.02,268.0374975,120.4830084,23.854292
2,-3,0.021,261.2386687,120.4820152,23.85418237
2,-3,0.022,254.6083418,120.4810432,23.85394961
2,-3,0.023,246.2621595,120.4801105,23.85359138
2,-3,0.024,237.9398164,120.4792343,23.85311187
2,-3,0.025,224.0814601,120.478423,23.85252982
2,-3,0.026,215.9238246,120.4777733,23.85177271
2,-3,0.027,201.6528226,120.4773131,23.85088888
2,-3,0.028,186.4601699,120.4771074,23.84991434
2,-3,0.029,166.4901878,120.4771716,23.84891931
2,-3,0.03,155.661477,120.4774593,23.84796336
2,-3,0.031,147.8905843,120.4779103,23.8470721
2,-3,0.032,139.7908642,120.4784841,23.84625398
2,-3,0.033,135.1937513,120.4791558,23.84551386
2,-3,0.034,129.3407429,120.4798943,23.84484027
2,-3,0.035,124.1943255,120.4806948,23.84424171
2,-3,0.036,118.4589984,120.4815437,23.84371414
2,-3,0.037,115.2099022,120.4824375,23.84326634
2,-3,0.038,108.1269921,120.4833752,23.8429207
2,-3,0.039,99.1576756,120.484352,23.84271195
2,-3,0.04,90.00882599,120.4853498,23.84266546
3,-3,0,47.73697111,120.5056896,23.95244207
3,-3,0.001,23.16977737,120.5062962,23.95321285
3,-3,0.002,347.6972893,120.5063035,23.95419049
3,-3,0.003,314.281428,120.505749,23.955002
3,-3,0.004,280.6992062,120.5048755,23.95544903
3,-3,0.005,246.9460231,120.5039001,23.95537151
3,-3,0.006,219.4347943,120.5031509,23.95474348
3,-3,0.007,163.3780373,120.5029886,23.95377538
3,-3,0.008,132.8036449,120.5034099,23.95287922
3,-3,0.009,105.8325445,120.504229,23.95232497
3,-3,0.01,71.82743003,120.5052083,23.95225485
4,-3,0,82.98665883,120.4821592,23.96545702
4,-3,0.001,79.02310094,120.4831472,23.96560959
4,-3,0.002,74.14432513,120.4841206,23.96583691
4,-3,0.003,68.74363358,120.4850708,23.9661467
4,-3,0.004,62.60216927,120.4859871,23.96654579
4,-3,0.005,59.67523247,120.4868608,23.96703168
4,-3,0.006,53.29604671,120.4876804,23.96760396
4,-3,0.007,49.07207388,120.4884572,23.96823322
4,-3,0.008,48.35563725,120.4892056,23.96889628
4,-3,0.009,50.43432521,120.4899516,23.96956202
4,-3,0.01,52.77423659,120.4907313,23.97018794
4,-3,0.011,56.98824955,120.491553,23.9707573
4,-3,0.012,59.6231853,120.4924038,23.97128264
4,-3,0.013,58.86746578,120.4932578,23.97180284
4,-3,0.014,55.55930592,120.4940991,23.97234331
4,-3,0.015,52.10696616,120.4949077,23.97293124
4,-3,0.016,49.44741039,120.4956788,23.97356754
4,-3,0.017,43.70663723,120.4963973,23.9742626
4,-3,0.018,38.92577455,120.4970669,23.97500498
4,-3,0.019,35.61394367,120.4976723,23.97580061
4,-3,0.02,30.69451887,120.4982141,23.97664065
4,-3,0.021,26.30282058,120.4986882,23.97752074
4,-3,0.022,23.29167563,120.4990986,23.97843245
4,-3,0.023,17.31599162,120.4994434,23.97937036
4,-3,0.024,13.11199904,120.4996965,23.98033746
4,-3,0.025,6.710266034,120.4998721,23.98132163
4,-3,0.026,2.564769665,120.4999657,23.98231697
4,-3,0.027,358.4415608,120.4999755,23.98331655
4,-3,0.028,354.2917447,120.499911,23.98431411
4,-3,0.029,350.0489034,120.4997671,23.98530335
4,-3,0.03,345.7082566,120.4995429,23.9862776
4,-3,0.031,338.9274643,120.4992397,23.98723021
4,-3,0.032,336.1187481,120.4988591,23.98815471
4,-3,0.033,329.5235961,120.4984125,23.98904853
4,-3,0.034,324.0326604,120.497882,23.98989584
4,-3,0.035,320.6889852,120.4972731,23.99068861
4,-3,0.036,315.5349894,120.4965998,23.99142746
4,-3,0.037,310.7064599,120.495863,23.992103
4,-3,0.038,303.8249855,120.4950671,23.99270792
4,-3,0.039,300.3768765,120.4942224,23.99324227
4,-3,0.04,294.9288578,120.4933322,23.99369698
4,-3,0.041,289.4271712,120.4924061,23.99407256
4,-3,0.042,284.9486952,120.4914517,23.99437013
4,-3,0.043,282.192999,120.490478,23.99459726
4,-3,0.044,276.5265932,120.4894923,23.9947622
4,-3,0.045,273.1011122,120.4884962,23.9948472
4,-3,0.046,270.0506521,120.4874967,23.99487486
4,-3,0.047,267.3458517,120.4864971,23.99485173
4,-3,0.048,265.1633951,120.4854994,23.99478528
4,-3,0.049,263.1618165,120.4845049,23.99468203
4,-3,0.05,261.1343746,120.4835144,23.99454455
4,-3,0.051,259.5819779,120.4825286,23.9943768
4,-3,0.052,257.7415066,120.4815482,23.99418043
4,-3,0.053,255.9112123,120.4805748,23.99395141
4,-3,0.054,253.554465,120.4796102,23.99368833
4,-3,0.055,250.7984892,120.4786585,23.99338176
4,-3,0.056,246.2859299,120.4777254,23.99302311
4,-3,0.057,240.6489579,120.4768305,23.99257795
4,-3,0.058,237.9291881,120.4759715,23.99206644
4,-3,0.059,232.9303183,120.475155,23.99148949
4,-3,0.06,227.5766565,120.4743843,23.990853
4,-3,0.061,224.1002287,120.4736654,23.9901582
4,-3,0.062,219.7229948,120.4729951,23.98941644
4,-3,0.063,217.2566736,120.4723701,23.98863592
4,-3,0.064,215.3518736,120.4717779,23.98783022
4,-3,0.065,213.9691963,120.4712069,23.98700934
4,-3,0.066,212.291699,120.4706522,23.98617734
4,-3,0.067,211.6084058,120.4701187,23.98533161
4,-3,0.068,208.8983688,120.4696173,23.98446654
4,-3,0.069,205.365451,120.4691631,23.983576
4,-3,0.07,201.1257301,120.4687751,23.98265472
4,-3,0.071,196.5231346,120.4684671,23.98170365
4,-3,0.072,187.9600541,120.468254,23.98072713
4,-3,0.073,182.3600568,120.4681502,23.9797331
4,-3,0.074,176.074231,120.4681579,23.97873397
4,-3,0.075,169.6564259,120.4682856,23.97774301
4,-3,0.076,162.7842651,120.4685372,23.97677607
4,-3,0.077,155.7939263,120.468912,23.97584975
4,-3,0.078,148.021473,120.4694045,23.97498037
4,-3,0.079,139.5560238,120.4700087,23.97418492
4,-3,0.08,129.735101,120.4707126,23.97347623
4,-3,0.081,125.0263965,120.4715036,23.97286561
4,-3,0.082,119.1035414,120.4723579,23.97234701
4,-3,0.083,130.9685879,120.4731981,23.97180852
4,-3,0.084,149.5553086,120.4737987,23.97101467
4,-3,0.085,149.5326428,120.4742981,23.97014842
4,-3,0.086,144.9436843,120.4748376,23.96930701
4,-3,0.087,139.9125874,120.4754448,23.96851312
4,-3,0.088,132.8736608,120.4761307,23.96778623
4,-3,0.089,128.0198448,120.4768902,23.96713644
4,-3,0.09,121.8162663,120.4777107,23.96656593
4,-3,0.091,116.8881612,120.4785771,23.96606733
4,-3,0.092,114.5996377,120.4794784,23.9656345
4,-3,0.093,98.09928648,120.480432,23.96535996
4,-3,0.094,86.68164205,120.4814306,23.96538671
1,-4,0,261.2219095,120.1857591,23.29687655
1,-4,0.001,265.3279608,120.1847669,23.29675404
1,-4,0.002,269.8182168,120.1837684,23.29670713
1,-4,0.003,275.9740349,120.18277,23.29674879
1,-4,0.004,280.0341742,120.1817796,23.29688433
1,-4,0.005,285.9915843,120.1808056,23.29710792
1,-4,0.006,292.7413315,120.1798615,23.29743504
1,-4,0.007,298.6285758,120.1789576,23.2978615
1,-4,0.008,305.2531273,120.1780973,23.2983704
1,-4,0.009,308.3313494,120.1772938,23.29896521
1,-4,0.01,314.0591173,120.176539,23.29962056
1,-4,0.011,316.5923439,120.1758341,23.30032948
