ID,?��,distance,angle,x,y
2,-5,0,76.03568053,120.3129829,23.61039095
2,-5,0.001,71.56707729,120.313946,23.61065899
2,-5,0.002,65.92238973,120.314883,23.61100685
2,-5,0.003,61.93508555,120.3157834,23.61144084
2,-5,0.004,55.56072984,120.316632,23.61196878
2,-5,0.005,49.70979619,120.3174235,23.61257891
2,-5,0.006,43.06010687,120.3181442,23.61327125
2,-5,0.007,35.38449573,120.3187886,23.61403526
2,-5,0.008,31.94688327,120.3193472,23.61486426
2,-5,0.009,26.09996274,120.31982,23.61574491
2,-5,0.01,20.33952332,120.3202025,23.61666832
2,-5,0.011,14.91326036,120.3204895,23.61762577
2,-5,0.012,6.655939674,120.3206681,23.61860913
2,-5,0.013,0.309748098,120.3207414,23.61960567
2,-5,0.014,354.1020248,120.3206953,23.62060381
2,-5,0.015,347.4841326,120.3205278,23.62158879
2,-5,0.016,340.5111026,120.3202363,23.62254448
2,-5,0.017,333.2705532,120.3198235,23.62345444
2,-5,0.018,325.5749431,120.3192958,23.62430288
2,-5,0.019,318.5208667,120.3186697,23.62508166
2,-5,0.02,309.3016749,120.3179479,23.62577286
2,-5,0.021,301.9715523,120.3171487,23.62637286
2,-5,0.022,297.7131007,120.3162833,23.62687258
2,-5,0.023,291.6010041,120.3153687,23.62727564
2,-5,0.024,285.6124167,120.3144191,23.62758725
2,-5,0.025,281.5583677,120.3134468,23.62781963
2,-5,0.026,278.4975993,120.3124617,23.62799044
2,-5,0.027,276.2841021,120.3114696,23.6281152
2,-5,0.028,274.9152289,120.3104741,23.62821032
2,-5,0.029,273.6244487,120.3094778,23.62829417
2,-5,0.03,273.6247217,120.3084801,23.62836251
2,-5,0.031,272.8769432,120.3074817,23.62841784
2,-5,0.032,271.1901242,120.3064823,23.62845034
2,-5,0.033,269.6379619,120.3054825,23.62846436
2,-5,0.034,266.9683476,120.3044833,23.6284269
2,-5,0.035,263.453602,120.3034888,23.62832328
2,-5,0.036,259.6676316,120.3025017,23.62816429
2,-5,0.037,254.7865154,120.3015299,23.62792957
2,-5,0.038,250.8262973,120.3005809,23.6276148
2,-5,0.039,245.7336548,120.299658,23.62723079
2,-5,0.04,241.0129475,120.2987692,23.62677318
2,-5,0.041,236.7541354,120.2979142,23.62625514
2,-5,0.042,230.8942381,120.2971164,23.62565361
2,-5,0.043,225.4214392,120.2963778,23.62497997
2,-5,0.044,220.8657959,120.2956987,23.6242466
2,-5,0.045,215.0411303,120.2950835,23.62345866
2,-5,0.046,210.3952153,120.294543,23.6226177
2,-5,0.047,204.2662398,120.2940841,23.6217299
2,-5,0.048,198.4654747,120.2937278,23.62079619
2,-5,0.049,189.4475301,120.2935081,23.61982205
2,-5,0.05,170.2218014,120.2934971,23.61882493
2,-5,0.051,152.4123148,120.2937746,23.61786981
2,-5,0.052,137.3748398,120.2943176,23.61703415
2,-5,0.053,131.7205838,120.2950256,23.6163296
2,-5,0.054,125.5134379,120.2958074,23.61570687
2,-5,0.055,123.6564251,120.2966288,23.61513669
2,-5,0.056,121.9287001,120.2974704,23.61459667
2,-5,0.057,121.0843765,120.2983205,23.61407024
2,-5,0.058,120.4102334,120.2991849,23.61356758
2,-5,0.059,118.7987601,120.30006,23.61308376
2,-5,0.06,118.0406724,120.3009441,23.61261659
2,-5,0.061,115.9536477,120.3018417,23.61217569
2,-5,0.062,115.1271765,120.3027499,23.61175734
2,-5,0.063,112.8822549,120.3036684,23.61136221
2,-5,0.064,109.6653605,120.3046014,23.61100283
