測站,X,Y
三和,120.4879411,23.6051419
六合,120.5626607,23.7688872
文昌,120.4195697,24.0081206
古坑,120.5668395,23.6445533
田中,120.5868369,23.8546002
田尾,120.5273784,23.8913797
田洋,120.3089917,23.7253985
合興,120.4581834,23.894041
安和,120.3126709,23.5147647
竹山,120.6871402,23.7630247
宏崙,120.3480521,23.6866149
坪頂,120.6406863,23.7558262
宜梧,120.1883087,23.5412544
明德,120.1992758,23.6529148
東光,120.2720127,23.6519191
東榮,120.4355251,23.5575179
社寮,120.7215556,23.8095304
花壇,120.5434004,24.0266614
虎尾,120.4323032,23.7141619
虎溪,120.5111803,23.7221335
洛津,120.4301778,24.0543448
崁腳,120.5379487,23.612378
海園,120.179071,23.7208086
烏塗,120.5980298,23.7672448
國聖,120.5691329,24.0926589
新民,120.6989779,23.811628
新光,120.6702601,23.8507579
溫厝,120.5120964,23.6577185
箔子,120.1514987,23.6335005
線西,120.4676334,24.1321396
舊庄,120.4006476,23.6344105
豐榮,120.3109723,23.7907168
顏厝,120.4345144,24.0744509
