測站	X	Y
三和	120.4879411	23.6051419
下半天	120.3275075	23.4299347
下柑	120.5425921	23.8232669
中山	120.2442546	23.7970597
九隆	120.4309865	23.7511055
二崙	120.4141973	23.7717298
二林	120.3715254	23.9014032
二水	120.6179301	23.8117014
僑義	120.4795051	23.8433128
元長	120.3114528	23.6526276
光復	120.4023941	23.7414333
全興	120.5124211	24.1720086
六合	120.5626607	23.7688872
北港	120.3019353	23.5788842
古坑	120.5668395	23.6445533
古民	120.3586091	23.5632313
合興	120.4581834	23.894041
和美	120.4961322	24.1036173
和豐	120.2234007	23.739028
員林	120.5698983	23.952315
嘉興	120.4595291	23.6481764
國聖	120.5691329	24.0926589
土庫	120.3898952	23.6879458
坪頂	120.6406863	23.7558262
大崎	120.4717726	23.5129113
大溝	120.2106757	23.5661644
好修	120.4582227	24.0069077
安南	120.2487902	23.7039388
安和	120.3126709	23.5147647
宏崙	120.3480521	23.6866149
宜梧	120.1883087	23.5412544
客厝	120.3342435	23.6266332
尚義	120.4518948	23.6342284
崁腳	120.5379487	23.612378
崙子	120.3548149	23.6076648
崙雅	120.5851901	23.8892691
後安	120.2348582	23.7892163
忠孝	120.3149513	23.6221067
拯民	120.4072534	23.7093338
文昌	120.4195697	24.0081206
斗六	120.5334846	23.704929
新光	120.6702601	23.8507579
新民	120.6989779	23.811628
明德	120.1992758	23.6529148
東光	120.2720127	23.6519191
東和	120.5693567	23.6858408
東榮	120.4355251	23.5575179
東石	120.1544886	23.460351
東芳	120.5159852	24.0627666
柑園	120.5336732	23.8229128
柑園新	120.542462	23.8210763
榮光	120.605063	23.8150822
水林	120.2461062	23.5730673
永定	120.4195771	23.7976624
洛津	120.4301778	24.0543448
海園	120.179071	23.7208086
海豐	120.2259437	23.7648513
港後	120.3920562	23.7964571
湖子內	120.5602082	23.7834189
溪州	120.5012538	23.8550595
溪湖	120.4789016	23.949894
溫厝	120.5120964	23.6577185
漢寶	120.3687243	24.0065841
潭墘	120.3475483	23.8356037
烏塗	120.5980298	23.7672448
瓊埔	120.2072791	23.5183722
田中	120.5868369	23.8546002
田尾	120.5273784	23.8913797
田洋	120.3089917	23.7253985
石榴	120.585848	23.720706
社寮	120.7215556	23.8095304
社頭	120.58677	23.898823
秀潭	120.3496009	23.6588347
竹塘	120.4283413	23.8599514
竹山	120.6871402	23.7630247
箔子	120.1514987	23.6335005
線西	120.4676334	24.1321396
興化	120.2889957	23.7601822
舊庄	120.4006476	23.6344105
花壇	120.5434004	24.0266614
花橋	120.5663227	24.017202
芳苑	120.3204379	23.9237754
芳草	120.3742353	23.7183141
莿桐	120.4968701	23.7567483
蔡厝	120.2192681	23.61224
虎尾	120.4323032	23.7141619
虎溪	120.5111803	23.7221335
西港	120.2893932	23.8605452
西螺	120.467139	23.7960679
觸口	120.6429723	23.7701166
豐崙	120.4669565	23.9074752
豐榮	120.3109723	23.7907168
趙甲	120.3953615	23.9375158
辰光	120.3226484	23.5865313
過溪	120.5721308	23.810335
重寮	120.3152078	23.3979045
重興	120.5890983	23.7807576
金湖	120.1532501	23.5733592
青山	120.6007421	23.9447482
頂番	120.4843231	24.0849186
顏厝	120.4345144	24.0744509
香田	120.3770097	23.8739112
鯉魚	120.654835	23.716187
