date,玉峰橋,水里,溪州大橋,章雲橋
2000/01/01,30.39,0.47,29.39,29.39
2000/01/02,30.39,0.47,25.6,25.6
2000/01/03,30.79,6.19,29.39,29.39
2000/01/04,30.39,6.55,29.39,29.39
2000/01/05,29.89,6.55,1.49552,30.2
2000/01/06,29.5,6.19,27.79,27.79
2000/01/07,29.5,6.9,29.39,29.39
2000/01/08,29,0.52,1.587554,30.29
2000/01/09,28.6,0.47,2.92716,31.6
2000/01/10,28.6,5.15,5.58592,34.2
2000/01/11,28.6,7.94,5.58592,34.2
2000/01/12,28.6,2.33,29,29
2000/01/13,28.1,0.43,6.9153,35.5
2000/01/14,28.1,0.37,5.58592,34.2
2000/01/15,28.1,0.36,29,29
2000/01/16,27.7,0.3,9.563834,38.09
2000/01/17,27.7,0.28,9.563834,38.09
2000/01/18,28.6,0.62,17.03904,45.4
2000/01/19,28.6,0.62,6.9153,35.5
2000/01/20,28.6,5.15,5.58592,34.2
2000/01/21,26.39,1.75,4.25654,32.9
2000/01/22,25.89,6.55,6.9153,35.5
2000/01/23,25,12.69,8.234454,36.79
2000/01/24,25,15.6,17.03904,45.4
2000/01/25,27.2,23.6,22.2543,50.5
2000/01/26,30.39,25.6,29.197754,57.29
2000/01/27,28.1,13.3,25.73114,53.9
2000/01/28,25.5,14,15.30062,43.7
2000/01/29,24.6,9.56,28,28
2000/01/30,24.6,11.5,35.24132,63.2
2000/01/31,24.6,3,10.90344,39.4
2000/02/01,24.6,4.59,12.23282,40.7
2000/02/02,24.2,11.5,33.083634,61.09
2000/02/03,23.5,11.5,30.9464,59
2000/02/04,22.29,10.8,22.2543,50.5
2000/02/05,23.1,13.3,25.73114,53.9
2000/02/06,25,11.5,25.73114,53.9
2000/02/07,23.79,10.8,18.767234,47.09
2000/02/08,24.2,11.5,20.505654,48.79
2000/02/09,25.89,11.5,30.9464,59
2000/02/10,25,12.1,29.197754,57.29
2000/02/11,24.2,8.3,29,29
2000/02/12,25.5,12.1,29,29
2000/02/13,25.5,6.9,2.92716,31.6
2000/02/14,24.2,7.25,2.92716,31.6
2000/02/15,24.2,12.69,4.25654,32.9
2000/02/16,23.79,10.8,5.58592,34.2
2000/02/17,24.2,9.56,5.58592,34.2
2000/02/18,23.79,11.5,29,29
2000/02/19,23.79,8.93,5.58592,34.2
2000/02/20,28.1,8.93,5.58592,34.2
2000/02/21,44.59,5.84,48.12608,75.8
2000/02/22,98.5,41.79,173.0878,198
2000/02/23,101,41.09,95.3702,122
2000/02/24,155,43.09,58.5566,86
2000/02/25,135,38.4,33.083634,61.09
2000/02/26,184,36.5,58.5566,86
2000/02/27,155,35.79,55.4888,83
2000/02/28,101,35.2,13.5622,42
2000/02/29,111,35.2,6.9153,35.5
2000/03/01,89.8,35.2,18.767234,47.09
2000/03/02,51.29,32.09,6.9153,35.5
2000/03/03,41.59,16,23,23
2000/03/04,37.09,12.3,16,16
2000/03/05,35.5,18.29,4.25654,32.9
2000/03/06,34.5,16.79,9.563834,38.09
2000/03/07,34,16.79,29,29
2000/03/08,32.2,15.3,21,21
2000/03/09,32.2,25.39,18.767234,47.09
2000/03/10,31.7,39.7,122.9804,149
2000/03/11,32.59,31.5,98.438,125
2000/03/12,56.7,42.5,185.359,210
2000/03/13,54.29,36.5,203.7658,228
2000/03/14,42.2,43.79,241.602,265
2000/03/15,38.59,46.2,226.263,250
2000/03/16,36.59,31.5,138.3194,164
2000/03/17,36.09,37.7,132.1838,158
2000/03/18,35,37.09,122.9804,149
2000/03/19,34,37.7,98.438,125
2000/03/20,33.5,37.7,76.9634,104
2000/03/21,32.59,38.4,45.968394,73.69
2000/03/22,32.59,36.5,18.767234,47.09
2000/03/23,32.2,33.4,17.03904,45.4
2000/03/24,31.7,34.59,13.5622,42
